作品ID,作品名,人物ID
43693,『新潮』十月新人号小説評,74
428,雪後,74
43694,『戦旗』『文芸戦線』七月号創作評,74
430,蒼穹,74
3201,太郎と街,74
56502,小さき良心,74
414,泥濘,74
431,橡の花,74
425,のんきな患者,74
56505,不幸,74
43698,編輯後記（昭和二年一月号）,74
43699,編輯後記（大正十五年九月号）,74
43700,編輯後記（大正十五年三月号）,74
43701,編輯後記（大正十五年四月号）,74
3058,矛盾の様な真実,74
415,闇の絵巻,74
418,闇の書,74
42292,闇への書,74
426,路上,74
2698,今度こそ,491
42248,生みの力,492
42251,ドストイェフスキーに就いて,492
49503,あけび,1346
49516,アラン島,1346
49137,或る国のこよみ,1346
50159,イエスとペテロ,1346
49504,池を掘る,1346
50142,「王の玄関」イエーツ戯曲,1346
49138,大へび小へび,1346
50143,お嬢さん,1346
50144,買食ひ,1346
49505,過去となつたアイルランド文学,1346
50146,軽井沢の夏と秋,1346
50147,菊池さんのおもひで,1346
49139,季節の変るごとに,1346
49506,蝙蝠の歴史,1346
49507,子供の言葉,1346
49140,仔猫の「トラ」,1346
49141,三本の棗,1346
55307,ジェミイの冐険,1346
50148,掏摸と泥棒たち,1346
50149,その他もろもろ,1346
50150,鷹の井戸,1346
50151,たんざくの客,1346
55344,ダンセニーの脚本及短篇,1346
53934,小さい芸術,1346
49508,地山謙,1346
49518,トイレット,1346
49142,灯火節,1346
50680,「灯火節」あとがき,1346
49143,東北の家,1346
49509,徒歩,1346
49510,ともしい日の記念,1346
50152,茄子畑,1346
50153,入浴,1346
50154,花屋の窓,1346
49144,浜田山の話,1346
49145,ばらの花五つ,1346
49146,豚肉　桃　りんご,1346
49511,二人の女歌人,1346
49512,古い伝説,1346
50145,乾あんず,1346
50155,北極星,1346
49513,まどはしの四月,1346
49519,ミケル祭の聖者,1346
49514,身についたもの,1346
50156,燃える電車,1346
55414,夢の国,1346
50157,四つの市,1346
49515,よめいり荷物,1346
50158,林檎のうた,1346
58941,カフェー,1978
47066,競馬興行と競馬狂の話,1286
54254,幸福,919
53967,破壊,919
53969,プロパガンダ,919
53968,わが児に,919
47851,進化学より見たる哲学,1317
47977,西周伝,1317
46361,なよたけ,1240
58956,『辞林』緒言,1984
3204,霜,873
3203,夏蚕時,873
58904,新憲法の解説,1956
49721,松園女史の思い出,920
3328,父,246
56508,『グリム童話集』序,1781
47165,勝太郎,1294
47166,久野女史をいたむ,1294
47167,ニッポン音楽,1294
47168,流行唄,1294
47169,レコード蒐集,1294
43453,支那近世の国粋主義,1127
43032,支那研究に就て,1127
43797,支那人心の新傾向,1127
45250,桃花源記序,1127
43836,日本国見在書目録に就いて,1127
43798,祭原教授文,1127
3039,天津教古文書の批判,866
2653,安藤昌益,866
3428,修善寺漱石詩碑碑陰に記せる文,866
2928,漱石と自分,866
2660,歴史の概念,866
1333,恭三の父,247
3032,少年と海,247
55650,早稲田神楽坂,247
49858,家長の心配,1235
49860,皇帝の使者,1235
49861,最初の苦悩,1235
47057,共産党宣言,261
3619,希臘及び羅馬と香料,891
51229,父の婚礼,248
1334,鱧の皮,248
51230,鱧の皮,248
51231,兵隊の宿,248
1337,足相撲,249
1336,崖の下,249
1335,業苦,249
4661,滑川畔にて,249
58919,家族といふもの,1870
33221,ギタンジャリ,1076
57971,帰依と復活,1870
57972,君臣相念,1870
58096,馬鈴薯の花,1870
58097,物語の絵画化についてなど,1870
57496,大和古寺風物誌,1870
58094,雑草雑語,1906
58098,社日桜,1906
58239,蝶が飛ぶ　葉っぱが飛ぶ,1906
58099,立春開門,1906
57428,堺へ帰らう,1861
57429,春の詩集,1861
57430,山の歓喜,1861
57409,山の宿海の宿,1861
57431,ゆづり葉,1861
57432,老境,1861
2847,御萩と七種粥,250
43688,閑人詩話,250
4299,小国寡民,250
1338,随筆「断片」,250
43796,枕上浮雲,250
43720,閉戸閑詠,250
4348,放翁鑑賞,250
4644,放翁鑑賞,250
46648,書記官,507
56513,乗合自動車,1306
58138,枕物狂,1911
52179,千里駒後日譚,1588
52180,千里の駒後日譚拾遺,1588
52179,千里駒後日譚,1532
52180,千里の駒後日譚拾遺,1532
55239,川端茅舎句集,369
2422,夏の月,369
4985,南予枇杷行,510
47021,印度の婦人へ,1277
47025,神、国王、国家,1277
47019,受動的抵抗の理論と実行,1277
47020,スワデシの誓,1277
47018,劒の教義,1277
4445,よくぞ能の家に,938
55427,海蛍の話,1731
55428,光る生物,1731
54556,哀詩数篇,1666
2045,秋　なげかひ,1666
54543,秋の小曲,1666
2037,新らしき悲しみにうつる時,1666
2040,あやしき楽の音,1666
2041,あやどり,1666
2039,おびえ,1666
2044,かの日,1666
1202,かの日の歌【一】,1666
1310,かの日の歌【二】,1666
1316,かの日の歌【三】,1666
1327,かの日の歌【四】,1666
1390,かの日の歌【五】,1666
1414,帰省,1666
54536,玉盃の曲,1666
2043,暮れ方の窓,1666
54540,恋しき最後の丘,1666
1402,心,1666
1885,最後の丘,1666
1497,盃,1666
54545,砂上の低唱,1666
1423,車室,1666
1426,棕梠のそよぎ,1666
54421,小曲二十篇,1666
1496,吸い殻,1666
2038,つかれ,1666
1157,ふるさと,1666
1744,古街,1666
1910,まよわし,1666
2042,燃えよ心,1666
45680,「あひびき」に就て,1055
45665,新しき声,1055
45252,有明集,1055
43794,「有明集」前後,1055
47092,鴎外を語る,1055
45681,小山内謝豹,1055
47093,機縁,1055
47090,泣菫氏が近業一篇を読みて,1055
44905,狂言綺語,1055
45229,虚妄と真実,1055
46160,草わかば,1055
45682,劇壇の新機運,1055
43795,仙人掌と花火の鑑賞,1055
45684,七月七日,1055
45683,詩の将来について,1055
46161,春鳥集,1055
45686,ジヨオジ・ムウア,1055
47094,抒情詩に就て,1055
56942,創始期の詩壇,1055
47095,都喜姫,1055
46162,独絃哀歌,1055
47088,『二十五絃』を読む,1055
44906,長谷川二葉亭,1055
4992,松浦あがた,1055
47089,『行く春』を読む,1055
43739,夢は呼び交す,1055
45663,龍土会の記,1055
47091,『聊斎志異』より,1055
45685,緑蔭叢書創刊期,1055
51153,隋書倭国伝,1484
46982,くまと車掌,872
46983,水菓子屋の要吉,872
3046,やんちゃオートバイ,872
485,青木の出京,83
1340,芥川の事ども,83
1038,仇討禁止令,83
1039,仇討三態,83
43121,アラビヤンナイト,83
491,Ｍ侯爵と写真師,83
493,大島が出来る話,83
495,恩を返す話,83
1051,義民甚兵衛,83
487,吉良上野の立場,83
488,勲章を貰う話,83
3329,碁の手直り表,83
48206,差押へられる話,83
1361,賤ヶ岳合戦,83
1339,島原心中,83
500,出世,83
43057,「小学生全集」について,83
43058,小学生全集に就て（再び）,83
1344,将棋,83
499,勝負事,83
4822,真珠夫人,83
55989,世評（一幕二場）,83
505,ゼラール中尉,83
498,船医の立場,83
43073,大衆維新史読本,83
47857,藤十郎の恋,83
503,藤十郎の恋,83
3033,納豆合戦,83
46591,奉行と人相学,83
1362,碧蹄館の戦,83
489,身投げ救助業,83
492,無名作家の日記,83
1364,山崎合戦,83
1090,乱世,83
504,若杉裁判長,83
1387,私の日常道徳,83
57158,雲仙岳,514
44537,愛妻家の一例,1154
44532,『赤鬼』の作者阪中正夫君,1154
44567,アカデミイの書取,1154
44417,「明るい文学」について,1154
44700,空地利用,1154
43860,秋の雲,1154
44715,芥川賞（第十八回）選評,1154
44719,芥川賞（第二十回）選評,1154
46862,浅間山,1154
44871,「浅間山」の序に代へて,1154
44757,『跫音』の序にかへて,1154
44595,明日の劇壇へ,1154
52302,明日は天気（二場）,1154
44701,新しい芝居,1154
44441,新しき天地,1154
44550,アトリエの印象,1154
44334,あの顔あの声,1154
44367,あの日あの人,1154
46863,あの星はいつ現はれるか,1154
44574,阿部正雄君のこと,1154
44892,甘い話,1154
52303,ある親子の問答（一幕）,1154
44833,あるニュウ・フェイスへの手紙,1154
44401,或る日の動物園,1154
44372,或る批評,1154
44621,或る風潮について,1154
44302,ある夫婦の歴史,1154
44562,ある村の素人劇団,1154
44569,アンリエツトの転地療養日記,1154
44335,アンリ・ルネ・ルノルマンについて,1154
44728,飯田の町に寄す,1154
44474,伊賀山精三君に,1154
44504,伊賀山精三君の『騒音』,1154
44829,遺憾の弁,1154
46864,医術の進歩,1154
44366,衣食住雑感,1154
44590,異性間の友情と恋愛,1154
44566,偉大なる近代劇場人,1154
44650,一国民としての希望,1154
44624,一対の美果,1154
44895,移転記録,1154
52081,命を弄ぶ男ふたり（一幕）,1154
44854,岩田豊雄と私,1154
44819,岩田夫人の死を悼む,1154
44307,言はでものこと,1154
44754,いわゆる「反省」は我々を救うか,1154
51829,牛山ホテル（五場）,1154
44534,内村直也君の『秋水嶺』,1154
44762,内村直也の戯曲,1154
44727,『美しい話』まへがき,1154
44489,美しき日本語と対話,1154
44602,『馬』と『二十六番館』,1154
44358,海の誘惑,1154
46865,運を主義にまかす男,1154
44614,映画アカデミイについて,1154
44389,映画素人談義,1154
44516,映画の演劇性,1154
44439,映画の観客と俳優,1154
44849,映画のダイアローグについて,1154
44826,『えり子とともに』の序に代へて,1154
44325,演芸欄　其他,1154
44445,演劇アカデミイの問題,1154
44845,『演劇』あとがき,1154
44318,演劇一般講話,1154
44691,「演劇」巻頭言,1154
44459,演劇雑誌,1154
44324,「演劇週評」その序言,1154
44332,演劇新潮と築地小劇場,1154
44832,「演劇」創刊に当たつて,1154
44481,演劇的青春への釈明,1154
44626,演劇統制の重点,1154
44498,演劇当面の問題,1154
44696,演劇と政治,1154
44501,戯曲の生命と演劇美,1154
44485,演劇の大衆性,1154
44840,演劇の様式――総論,1154
44883,「演劇美の本質」はしがき,1154
44844,演劇への入口,1154
44496,演劇・法律・文化,1154
44510,演劇本質論の整理,1154
44387,演劇漫話,1154
44577,演劇より文学を排除すべきか,1154
44521,演劇論の一方向,1154
44644,演出者として,1154
44861,演出者として,1154
44471,演出について,1154
44695,『桜樹』の序,1154
44897,岡田君のこと,1154
44435,岡田糓君の個展,1154
44777,屋上庭園,1154
44319,小山内君の戯曲論,1154
44356,遅くはない,1154
43805,落葉日記,1154
44785,落葉日記（三場）,1154
44629,お中元,1154
46866,音の世界,1154
44482,『おふくろ』,1154
44526,「思はざる収穫」について,1154
44780,温室の前,1154
44890,「温室の前」の人物について,1154
44420,女九歳,1154
44345,女七歳,1154
44622,「女らしさ」について,1154
44581,懐疑的宣言,1154
44683,外国語教育,1154
44637,『開拓地帯』の序,1154
44828,外遊熱,1154
46849,かへらじと,1154
46867,顔,1154
44568,風邪一束,1154
46850,雅俗貧困譜,1154
44564,「語られる言葉」の美,1154
44630,画期的な企て,1154
44326,学校劇　其の他,1154
44858,加藤道夫の死,1154
44344,過渡時代,1154
44784,可児君の面会日,1154
44575,歌舞伎劇の将来,1154
43864,髪の毛と花びら,1154
44533,『紙風船』について,1154
52082,紙風船（一幕）,1154
44368,仮面座の宣言,1154
44359,カルナツクの夏の夕,1154
44606,川口一郎君の『二十六番館』,1154
52304,感化院の太鼓（二場）,1154
44673,観光事業と文化問題,1154
46868,かんしやく玉,1154
44512,癇癪批評,1154
44753,感想,1154
44456,感想,1154
52305,ガンバハル氏の実験（ラヂオドラマ）,1154
44447,官立演劇映画学校の提唱,1154
44658,既往文化と新文化,1154
43852,記憶のいたづら,1154
51830,桔梗の別れ,1154
44348,戯曲以前のもの,1154
44603,戯曲及び戯曲作家について,1154
44600,戯曲講座,1154
44321,戯曲時代,1154
44543,戯曲時代去る,1154
44545,戯曲集『鴉』の印象,1154
44373,戯曲二十五篇を読まされた話,1154
44561,戯曲の翻訳,1154
44831,戯曲復興の兆,1154
44513,危機を救ふもの,1154
44821,棄権,1154
44596,紀州人,1154
44638,期待する人,1154
44901,北軽井沢にて,1154
44434,希望,1154
44331,脚本難,1154
44520,共同の目標,1154
44856,近況,1154
44492,近代劇論,1154
44671,勤労と文化,1154
44889,偶感一束,1154
44717,空襲時に於ける興行非常対策について,1154
44487,空襲ドラマ,1154
52306,傀儡の夢（五場）,1154
44462,久保田万太郎氏著「釣堀にて」,1154
44823,雲の会,1154
44538,車引耕介に答ふ,1154
44410,苦労人クウルトリイヌについて,1154
46869,クロニック・モノロゲ,1154
44583,クロムランクとベルナアルに就いて,1154
44395,稽古雑感,1154
44499,稽古のしかた,1154
44862,稽古場にて,1154
44665,芸術家の協力,1154
44308,芸術座の『軍人礼讃』,1154
44352,芸術賞,1154
44392,芸術と金銭,1154
44649,劇作と私,1154
44729,「劇作」に告ぐ,1154
44548,劇作を志す若い人々に,1154
44353,劇作家としてのルナアル,1154
44469,劇場と観客層,1154
44304,劇場と作者,1154
44591,劇壇暗黒の弁,1154
44607,劇壇左右展望,1154
44363,劇壇漫評,1154
44378,劇的伝統と劇的因襲,1154
44585,劇道救済の必要,1154
44814,劇の好きな子供たちへ,1154
44759,劇文学は何処へ行くか,1154
44531,『月・水・金』の跋,1154
46851,けむり（ラヂオ物語）,1154
46870,喧嘩上手,1154
44477,懸賞小説に寄せて,1154
44887,「現代演劇論・増補版」あとがき,1154
44875,「現代演劇論」はしがき,1154
44868,「現代戯曲全集第十七巻」の跋に代へて,1154
44495,現代劇のない日本,1154
44479,現代大衆劇は斯くして生れる,1154
44847,『現代短歌大系』のために,1154
44442,現代日本の演劇,1154
44457,“現代風俗”に就いて,1154
44880,「現代風俗」はしがき,1154
44779,賢婦人の一例（一幕）,1154
44329,公開状,1154
44090,荒天吉日,1154
44675,「国語文化講座」監修者の言葉,1154
48284,南洲手抄言志録,1320
50410,散文詩,1723
50411,唱歌,1723
44484,コクトオの『声』その他を聴く,1154
44664,国防と文化,1154
51827,ここに弟あり,1154
44371,心平かなり,1154
44613,後日譚,1154
44316,言葉言葉言葉,1154
44506,言葉の魅力,1154
44505,言葉の魅力［第一稿］,1154
43849,この握りめし,1154
44822,コポオの弟子たち,1154
44525,小山祐士君の『瀬戸内海の子供ら』,1154
44579,これからの戯曲,1154
51831,是名優哉（一幕）,1154
44450,今月の感想,1154
44612,今度の出し物について,1154
44608,こんな俳優が欲しい,1154
44448,最近の戯曲について,1154
46852,歳月,1154
44878,「歳月」前記,1154
44830,作者の言葉（「牛山ホテル」の後に）,1154
44309,『桜の園』の思ひ出と印象,1154
44558,左団次一行,1154
44580,作家山本人間有三,1154
46853,五月晴れ,1154
44870,「昨今横浜異聞」この集を編むについて,1154
51832,昨今横浜異聞（一幕）,1154
44839,『猿・鹿・熊』の序,1154
45643,沢氏の二人娘,1154
44466,三八年の女性はかく生きよ！,1154
44551,サン・ジョルジュ・ド・ブウエリエについて,1154
44713,「サント・ブウヴ選集」推薦の言葉,1154
44676,「詩歌の午後」について,1154
44636,ジイクフリードについて,1154
46990,椎茸と雄弁,1154
44669,ジーブルグ著「神はフランスにゐるか」,1154
44497,芝居と見物,1154
44444,芝居と生活,1154
44449,芝居と僕,1154
44433,暫く黙せしめよ,1154
44429,強ひられた感想,1154
44632,事変記念日,1154
44619,事変第三年を迎へて,1154
44355,島国的僻見,1154
44346,自問自答,1154
52307,写真（一幕）,1154
44571,ジャック・コポオの印象,1154
44411,シャルル・ヴィルドラックについて,1154
44584,ジヤン・コクトオ作「恐るべき子供たち」,1154
44463,上海で戦死した友田恭助君,1154
44523,シュアレスの「三人」（宮崎嶺雄君訳）,1154
44493,周囲に聴く,1154
44776,驟雨（一幕）,1154
44660,宗教と科学についての所感,1154
44618,従軍五十日,1154
44841,十五年,1154
44483,『十二月』,1154
44421,十二月的感想,1154
44744,十年の足跡,1154
44570,ジュウル・ルナアル,1154
44827,述懐,1154
44323,出発点,1154
44635,「趣味」の草原へ,1154
44643,春日雑記,1154
44305,春秋座の「父帰る」,1154
44476,純粋演劇の問題,1154
44859,純粋戯曲への道,1154
47057,共産党宣言,164
44330,上演目録,1154
44310,上演料の話（仏蘭西）,1154
44488,小劇場記念公演,1154
44816,「娼婦マヤ」評,1154
44896,昭和十年度劇界への指針,1154
44853,昭和の劇文学の全貌,1154
46854,職業（教訓劇）,1154
44623,女性の力,1154
44440,女性風俗時評,1154
44663,女性へ　１,1154
44680,女性へ　２,1154
46871,序文,1154
44885,「序文」まへがき,1154
44382,女優と劇作家,1154
44850,女優の親,1154
44500,女優リイヌ・ノロのこと,1154
44422,ジヨルジュ・クウルトリイヌに就いて,1154
44589,『シラノ』雑感,1154
44342,素面の管,1154
44894,「白い蛇、赤い蛇」,1154
44690,『素人演劇運動の理念と方策』の序,1154
44679,『素人演劇講座』の序,1154
44900,新協劇団を観る,1154
44357,新劇運動の一考察,1154
44399,新劇運動の二つの道,1154
44491,新劇界の昨今,1154
44397,新劇界の分野,1154
44391,新劇協会公演に先だつて,1154
44390,新劇協会の更生について,1154
44337,新劇協会の舞台稽古,1154
44515,新劇倶楽部創立に際して,1154
44597,新劇雑誌,1154
44409,新劇自活の道,1154
44542,新劇衰微の兆　天才俳優出でよ,1154
44852,新劇と娘今日子,1154
44467,新劇の行くべき途,1154
44604,新劇の殻,1154
44480,新劇の観客諸君へ,1154
44404,新劇の危機,1154
44490,新劇の自活,1154
44524,新劇の始末,1154
44460,新劇の大衆化,1154
44394,新劇のために,1154
44517,新劇の拓く道,1154
44458,新劇の分類,1154
44760,新劇の黎明,1154
44599,新劇復興の兆,1154
44396,新国劇の「屋上庭園」を観て,1154
44535,新撰劇作叢書刊行について,1154
44639,新鮮な魅力,1154
44529,新築地劇団に望む,1154
44620,新築地に与へて,1154
44879,「新日本文学全集第三集・岸田國士集」あとがき,1154
44795,新年狂想曲,1154
44573,新派劇と新派俳優,1154
44655,新文化建設の方向,1154
44592,新聞小説,1154
44642,新聞小説とは,1154
44716,心理の洞察,1154
44825,生活から学ぶ,1154
44881,「生活と文化」序,1154
44761,生活の美しさについて,1154
44689,生活のうるほひ,1154
44666,生活の貧しさ,1154
44678,生活の黎明,1154
44653,生活文化の建設,1154
44688,生活力の強化,1154
44764,清潔な文章を買ふ,1154
44710,青年の矜りと嗜み,1154
44711,青年の夢と憂欝,1154
44662,青年へ,1154
44437,西洋映画は何故面白いか？,1154
44654,世界的文化の母胎,1154
44541,世界人情覗眼鏡,1154
44540,世界覗眼鏡,1154
46872,世帯休業,1154
44407,せりふ,1154
44572,「せりふ」としての方言,1154
44527,「せりふ」について,1154
44820,先駆者小山内薫,1154
44851,選後に,1154
44838,選後に,1154
44817,選後に,1154
44677,戦時下に於る文化運動の意義,1154
44685,戦時下の文化運動,1154
44464,戦死した友田恭助氏,1154
44731,選者の言葉,1154
44702,戦争指導者,1154
44709,戦争と文化,1154
44587,煽動性万能,1154
44774,ゼンマイの戯れ（映画脚本）,1154
44385,「ゼンマイの戯れ」に就て,1154
44386,「ゼンマイの戯れ」に就いて,1154
43804,双面神,1154
44432,続言葉言葉言葉（その一）,1154
44625,続言葉言葉言葉（その二）,1154
44720,其日、其日の気持,1154
52308,空の赤きを見て,1154
46855,空の悪魔（ラヂオ・ドラマ）,1154
43862,それができたら,1154
44375,大正風俗考,1154
44668,大政翼賛会と文化問題,1154
44640,「炬火おくり」について,1154
44810,対話,1154
44343,対話させる術,1154
44752,田口竹男君のこと,1154
44586,脱退問題是非,1154
51833,頼母しき求縁（一幕）,1154
44461,旅の苦労,1154
44582,田巻安里のコーヒー,1154
44381,玉突の賦,1154
44301,誰でもない……自分でもない,1154
44536,『断層』の作者久板栄二郎君へ,1154
43593,暖地の冬から山国の春へ,1154
44787,ヂアロオグ・プランタニエ（対話）,1154
44706,『力としての文化』まえがき,1154
44718,地方文学の曙光,1154
44674,地方文化の新建設,1154
44555,著作権の精神的擁護,1154
44478,著作者側の一私見,1154
44416,「チロルの秋」以来,1154
44419,「チロルの秋」上演当時の思ひ出,1154
52088,チロルの秋（一幕）,1154
44522,チロルの古城にて,1154
44312,チロルの旅,1154
44843,珍重すべき国際感覚,1154
44388,「追憶」による追憶,1154
44781,遂に「知らん」文六（三場）,1154
44509,通俗性・大衆性・普遍性,1154
44472,築地座の『旧友』,1154
44601,築地座の『ママ先生』,1154
44311,築地小劇場の旗挙,1154
44758,辻久一著「夜の芸術」,1154
44699,妻の日記,1154
44598,テアトル・コメディイ,1154
44473,テアトル・コメディイの二喜劇,1154
52310,動員挿話［第一稿］,1154
52309,動員挿話（二幕）,1154
44470,東京朝日新聞の劇評,1154
44327,『同志の人々』,1154
43594,時　処　人,1154
44874,「時・処・人」まへがき,1154
44338,独断一束,1154
44351,独断三幅対,1154
43579,時計とステッキ,1154
44652,都市文化の危機,1154
44682,「ドストエーフスキイ全集」推薦の辞,1154
44704,隣組長として,1154
44703,隣組の文化運動,1154
53193,隣の花,1154
44891,隣の花,1154
44563,トリスタン・ベルナアルに就いて,1154
51834,取引にあらず,1154
44864,「どん底」の演出,1154
44865,『どん底』ノート,1154
44544,問屋種切れ,1154
44530,中野重治氏に答ふ,1154
44556,中村・阪中二君のこと,1154
44815,中村伸郎,1154
44303,懐かし味気なし,1154
43861,菜の花は赤い,1154
44418,悩みと死の微笑,1154
44494,なんとかせねばならぬ,1154
44698,『南方絵筆紀行』の序,1154
46991,虹色の幻想（シナリオ）,1154
44518,日記について,1154
44451,日本映画の水準について,1154
44616,日本演劇の特質,1154
44743,『日本人とは？』再刊にあたつて,1154
44742,『日本人とはなにか』まへがき,1154
44670,日本人のたしなみ,1154
44438,日本に生れた以上は,1154
44514,日本の新劇,1154
44708,日本文化の特質,1154
44694,『日本を観る』の序に代へて,1154
46992,女人渇仰,1154
44755,人間カザノヴァの輪郭,1154
50657,「にんじん」とルナアルについて,1154
44872,「にんじん」の訳稿を終へて,1154
44503,“にんじん”を観て,1154
44714,農村の文化について,1154
44746,野上君の処女戯曲,1154
51835,長閑なる反目,1154
44413,梅雨期の饒舌,1154
44403,『ハイカラ』といふこと,1154
44726,『敗戦の倫理』編者のことば,1154
44369,俳優教育について,1154
44547,俳優志望者メンタルテスト,1154
44811,俳優と現代人の生活（対話Ⅴ）,1154
44374,俳優の素質,1154
44408,俳優養成と人材発見,1154
44651,俳優倫理,1154
43596,博物誌あとがき,1154
44877,「博物誌」の序に代へて,1154
52083,葉桜（一幕）,1154
44412,走るノート,1154
44876,「花問答」後記,1154
44628,母親の心理学,1154
44400,端役,1154
46993,速水女塾,1154
44884,「速水女塾」あとがき,1154
44848,「速水女塾」について,1154
44763,速水女塾に就ての雑談,1154
44322,巴里素描,1154
44549,巴里で観たイプセン劇,1154
44475,巴里の新年,1154
44902,帆船の絵について,1154
52089,麺麭屋文六の思案（二場）,1154
43859,光は影を,1154
44588,「抽斗にない言葉」,1154
44554,「悲劇喜劇」広告,1154
44552,「悲劇喜劇」の編輯者として,1154
44553,「悲劇喜劇」発刊について,1154
43595,美談附近,1154
44818,秘伝の名訳,1154
44712,一言（『岸田秋子』について）,1154
44340,一言二言三言,1154
44824,一言（「道遠からん」について）,1154
44693,一つの試案,1154
44836,一つの挿話,1154
52084,灯ともし頃,1154
43848,火の扉,1154
44443,批評家・作家・劇場人,1154
46856,秘密の代償,1154
44783,百三十二番地の貸家,1154
44486,標題のつけ方,1154
44565,ファルスの近代性,1154
44350,ファンテジイ,1154
46857,風俗時評,1154
44882,「風俗時評」あとがき,1154
44646,風俗の非道徳性,1154
44328,「不可解」の魅力,1154
44813,福田恆存君の「キティ颱風」,1154
46858,富士はおまけ（ラヂオ・ドラマ）,1154
44750,Ｓ夫人への手紙,1154
44751,Ｓ夫人への手紙［別稿］,1154
44560,舞台の笑顔,1154
43580,舞台の言葉,1154
44605,再びテアトル・コメディイについて,1154
44745,二つの戯曲時代,1154
44317,二つの答,1154
44370,仏国議会に於ける脚本検閲問題,1154
44347,仏国現代の劇作家,1154
44873,「葡萄畑の葡萄作り」後記,1154
52086,ぶらんこ（一幕）,1154
44594,フランスに於けるシェイクスピア,1154
44320,ふらんすの女,1154
44415,ふらんすの芝居,1154
44383,ふらんす役者気質,1154
44313,仏蘭西役者の裏表,1154
52085,古い玩具（一幕六場）,1154
44888,「古い玩具」あとがき,1154
44380,ブルタアニュの伝説より,1154
44511,プログラム,1154
44681,文化運動への反省,1154
44898,文学オリンピツク,1154
44452,文学界後記,1154
44315,文学か戯曲か,1154
44610,文学座第一回試演に際して,1154
44611,文学座第二回試演に際して,1154
44641,文学座の芸能祭参加について,1154
44747,文学座『夢を喰ふ女』を演出して,1154
44633,文学者の一人として見た現代日本語,1154
44453,「文化勲章」制定に就て,1154
44454,文化勲章に就て,1154
44705,文化職域について,1154
44661,文化政策展開の方向,1154
44707,文化とは,1154
44672,文化とはどういふことか,1154
44659,文化の新体制,1154
44656,文芸雑談,1154
44645,文芸銃後運動,1154
44631,文芸と国語,1154
44657,文芸の側衛的任務,1154
44559,文功章,1154
44333,「文壇波動調」欄記事,1154
44361,「文壇波動調」欄記事,1154
44365,「文壇波動調」欄記事,1154
44376,「文壇波動調」欄記事,1154
44384,「文壇波動調」欄記事,1154
44393,「文壇波動調」欄記事,1154
44377,兵営と文学,1154
44857,返事,1154
44431,編輯当番より,1154
44360,傍観者の言,1154
43581,方言について,1154
44507,方言について,1154
43851,放浪者,1154
44354,ポオル・エルヴィユウ,1154
44468,北支の旅,1154
44465,北支物情,1154
44697,「矜り」と「嗜み」,1154
44835,北海道の性格,1154
44539,ポルト・リシュとクウルトリイヌ,1154
44557,焼き林檎を投げる,1154
44508,翻訳劇と翻案劇,1154
44519,翻訳について,1154
52311,迷子になつた上等兵（ラヂオドラマ）,1154
44362,幕間,1154
44405,幕が下りて,1154
44349,幕は開かない,1154
44893,先づ脱却すべきは,1154
51836,ママ先生とその夫,1154
44692,「満洲国各民族創作選集」選者のことば,1154
44867,未解決の問題,1154
44339,未完成な現代劇,1154
44886,「道遠からん」あとがき,1154
46994,道遠からん　四幕,1154
44546,観て忘れる,1154
43850,緑の星,1154
44615,三保寮を訪ふ,1154
44314,武者小路氏のルナアル観,1154
44778,村で一番の栗の木（五場）,1154
44609,明治大学文芸科に演劇映画科を新設する件,1154
44860,もうひと息,1154
44834,黙然として,1154
44402,最もよく系統づけられた戯曲叢書,1154
44406,求貸家,1154
43582,物言う術,1154
44812,『物言う術』の序に代へて,1154
46873,モノロオグ,1154
44578,喪服の人形,1154
44730,森本薫君について,1154
44436,「モンテーニュ随想録」（関根秀雄君訳）,1154
44306,訳者より著者へ,1154
44863,矢代静一君を推す,1154
43863,山形屋の青春,1154
44336,棣棠の心,1154
44446,山本有三氏作「真実一路」について,1154
44687,優にやさしき心,1154
44627,雄弁について,1154
46995,雪だるまの幻想（ラジオ・ドラマ）,1154
44684,夢と実現の能力,1154
44866,「由利旗江」を書いた頃の思出,1154
44379,用捨なき観客,1154
44748,横光君といふ人,1154
44756,横光君の印象,1154
44749,横光君の文学,1154
44341,横槍一本,1154
44648,米川正夫著「酒・音楽・思出」,1154
44364,『落伍者の群』を聴け,1154
44846,ラジオ・ドラマ私見,1154
44502,ラヂオ・ドラマ選者の言葉,1154
44899,ラヂオ文学の収穫――「なだれ」,1154
44593,陸軍士官から,1154
44837,ルイ・ジュウヴェの魅力,1154
52312,留守（一幕）,1154
44767,軌道（黙劇）,1154
44647,レオポール三世の悲劇,1154
52087,恋愛恐怖病（二場）,1154
44398,練習曲,1154
44842,老病について,1154
44430,六号記,1154
44455,ロツパの「楽天公子」,1154
44528,わが演劇文化の水準,1154
44667,わが仏文壇に「なくてはならぬ部分」を残す,1154
44414,「我家の平和」を演出して,1154
44576,私の演劇論について,1154
44617,私の従軍報告,1154
44686,『私の生活技術』の跋,1154
44855,笑について,1154
44869,「我等の劇場」緒言,1154
46522,想像と装飾の美,251
55720,新古細句銀座通,251
46521,ばけものばなし,251
1389,美術上の婦人,251
54853,牛捨場馬捨場,1344
54426,エタに対する圧迫の沿革,1344
50754,蝦夷とコロボツクルとの異同を論ず,1344
54435,遠州地方の足洗,1344
49805,奥羽地方のシシ踊りと鹿供養,1344
49806,火葬と大蔵,1344
